VIN,CarYear,Color,VehBody,EngineType,Make,Miles,Odometer,Brand,VehType,LocationNum,CarType,EngineLiters,FuelType,Transmission,SaleLoc,PurchVal
KL8CD6S92DC506670,2013,RED,2 Door,4 Cylinder,SPARK,119393,Accurate,CHEVROLET,Passenger,87,Mid-size,1.2L,Gasoline,Automatic,87,4365
1HGFA16506L087990,2006,Black,4 Door,4 Cylinder,CIVIC                    ,136321,Accurate,HONDA,Passenger,465,Compact,1.8L,Gasoline,Automatic,465,4830
3N1CN7AP1CL835442,2012,Silver,4 Door,4 Cylinder,VERSA,81490,Accurate,NISSAN,Passenger,250,Compact,1.6L,Gasoline,Automatic,250,4275
1G2ZF57B484166136,2008,Red,4 Door,4 Cylinder,G6                       ,125516,Accurate,PONTIAC,Passenger,296,Mid-size,2.4L,Gasoline,Automatic,296,3800
1G1AL14F457626755,2005,White,2 Door,4 Cylinder,COBALT LS LEVEL 2        ,118046,Accurate,CHEVROLET,Passenger,368,Compact,2.2L,Gasoline,Automatic,368,4185
1FMDK02W68GA30387,2008,Gold,SUV,6 Cylinder,TAURUS X SEL             ,128126.75,Accurate,FORD,Truck,38,SUV,3.5L,Gasoline,Automatic,38,5800
2FMDK3JC3ABB23907,2010,Black,SUV,6 Cylinder,EDGE,140381,Accurate,FORD,Truck,465,SUV,3.5L,Gasoline,Automatic,465,4811
KMHDN46D444820855,2004,Gray,4 Door,4 Cylinder,ELANTRA GLS/GT           ,87539,Accurate,HYUNDAI,Passenger,468,Mid-size,2.0L,Gasoline,Automatic,468,3460
5NPET46C89H443728,2009,Tan,4 Door,4 Cylinder,SONATA                   ,92964,Accurate,HYUNDAI,Passenger,466,Full-size,2.4L,Gasoline,Automatic,466,4600
1J8FT47W17D347433,2007,Green,SUV,4 Cylinder,COMPASS SPORT            ,118863,Accurate,JEEP,Truck,189,SUV,2.4L,Gasoline,Automatic,189,5300
3FAFP31N55R151351,2005,Yellow,2 Door,4 Cylinder,FOCUS ZX3                ,88509,Accurate,FORD,Passenger,332,Compact,2.0L,Gasoline,Automatic,332,5000
1FAFP53265A282524,2005,Black,4 Door,6 Cylinder,TAURUS                   ,117656,Accurate,FORD,Passenger,412,Mid-size,3.0L,Flex - Fuel,Automatic,412,4500
1G2ZG57N684287578,2008,Red,4 Door,6 Cylinder,G6                       ,112951.6667,Accurate,PONTIAC,Passenger,310,Mid-size,3.5L,Gasoline,Automatic,310,3995
1N4AL21E98N486216,2008,Silver,4 Door,4 Cylinder,ALTIMA,81661,Accurate,NISSAN,Passenger,504,Mid-size,2.5L,Gasoline,Automatic,504,5230
1D7HA16D34J264383,2004,Grey,Truck,8 Cylinder,RAM 1500 ST/SLT          ,130877,Accurate,DODGE,Truck,465,Full-Size Truck,5.7L,Gasoline,Automatic,465,8209.21
2T1KR32E33C139915,2003,Silver,4 Door,4 Cylinder,MATRIX/XR                ,99276,Accurate,TOYOTA,Passenger,439,Compact,1.8L,Gasoline,Automatic,439,5295
1FAFP53U75A147263,2005,Blue,4 Door,6 Cylinder,TAURUS                   ,124239,Accurate,FORD,Passenger,396,Mid-size,3.0L,Gasoline,Automatic,396,2000
2A8GF48466R761523,2006,Blue,SUV,6 Cylinder,PACIFICA                 ,83183,Accurate,CHRYSLER,Truck,225,SUV,3.5L,Gasoline,Automatic,225,5300
1A4GP45R36B755059,2006,White,Van,6 Cylinder,TOWN & COUNTRY           ,75353.66667,Exempt,CHRYSLER,Truck,308,Van,3.3L,Gasoline,Automatic,308,5625
2G1WG5EK9B1304943,2011,Red,4 Door,6 Cylinder,IMPALA                   ,143484,Accurate,CHEVROLET,Passenger,362,Full-size,3.5L,Flex - Fuel,Automatic,362,3640
JTLKT334064104851,2006,Black,SUV,4 Cylinder,SCION XB                 ,97248,Accurate,TOYOTA,Truck,310,Mid-size,1.5L,Gasoline,Automatic,310,3810
1FAHP36N59W193961,2009,Red,4 Door,4 Cylinder,FOCUS SES                ,123643,Accurate,FORD,Passenger,110,Compact,4.0L,Gasoline,Automatic,110,3500
1D4PT2GK9BW516062,2011,Silver,SUV,6 Cylinder,NITRO,111207,Accurate,DODGE,Truck,491,SUV,3.7L,Gasoline,Automatic,491,5260
KNAGE123475112324,2007,Silver,4 Door,4 Cylinder,OPTIMA                   ,89458,Accurate,KIA,Passenger,470,Mid-size,2.4L,Gasoline,Automatic,470,2876.55
1B4GP15BX2B555147,2002,White,Van,4 Cylinder,CARAVAN EC               ,119714,Accurate,DODGE,Truck,386,Van,2.4L,Gasoline,Automatic,386,3500
3N1CN7AP6FL869638,2015,White,4 Door,4 Cylinder,VERSA,36002,Accurate,NISSAN,Passenger,291,Compact,1.6L,Gasoline,Automatic,291,5500
4T1CE30PX5U529397,2005,Blue,2 Door,4 Cylinder,CAMRY SOLARA SE/SLE      ,116280,Accurate,TOYOTA,Passenger,140,Mid-size,2.4L,Gasoline,Automatic,140,5130
1FAFP25197G117439,2007,Burgundy,4 Door,6 Cylinder,FIVE HUNDRED LTD         ,112018,Accurate,FORD,Passenger,360,Full-size,3.0L,Gasoline,Automatic,360,5155
1G1ZC5EB8AF186805,2010,Black,4 Door,4 Cylinder,MALIBU                   ,72816,Accurate,CHEVROLET,Passenger,228,Mid-size,2.4L,Gasoline,Automatic,228,5000
KNDJF724267234264,2006,White,SUV,4 Cylinder,SPORTAGE                 ,122013,Accurate,KIA,Truck,37,SUV,2.0L,Gasoline,Automatic,37,4800
1GNDV23W58D164256,2008,Silver,Van,6 Cylinder,UPLANDER LS              ,105274,Accurate,CHEVROLET,Truck,360,Van,3.9L,Flex - Fuel,Automatic,360,5300
1G1ND52J63M692025,2003,White,4 Door,6 Cylinder,MALIBU                   ,72854,Accurate,CHEVROLET,Passenger,400,Mid-size,3.1L,Gasoline,Automatic,400,4090
2MEHM75W45X621388,2005,White,4 Door,8 Cylinder,GRAND MARQUIS,88648,Accurate,MERCURY,Passenger,391,Mid-size,4.6L,Gasoline,Automatic,391,2200
1FAHP3FN8AW203449,2010,Gray,4 Door,4 Cylinder,FOCUS SE                 ,83427,Accurate,FORD,Passenger,483,Compact,2.0L,Gasoline,Automatic,483,5300
2C4GP44RX5R553519,2005,Silver,Van,6 Cylinder,TOWN & COUNTRY LX        ,91751.20833,Accurate,CHRYSLER,Truck,448,Van,3.3L,Gasoline,Automatic,448,7195
1FAFP34NX7W357194,2007,Green,4 Door,4 Cylinder,FOCUS                    ,77252.33333,Accurate,FORD,Passenger,539,Compact,2.0L,Gasoline,5-Speed,539,3735
2D4GP44L35R104407,2005,Red,Van,6 Cylinder,GRAND CARAVAN SXT        ,124896,Accurate,DODGE,Truck,341,Van,3.8L,Gasoline,Automatic,341,3078
5FNRL38616B012371,2006,Gray,Van,6 Cylinder,ODYSSEY EX               ,101997,Accurate,HONDA,Truck,62,Van,3.5L,Gasoline,Automatic,62,7500
3MEHM08Z58R620752,2008,Gray,4 Door,4 Cylinder,MILAN PREMIER            ,105337,Accurate,MERCURY,Passenger,468,Full-size,2.3L,Gasoline,Automatic,468,5115
1N4AL11E56C247426,2006,Beige,4 Door,4 Cylinder,ALTIMA,127400,Accurate,NISSAN,Passenger,556,Mid-size,2.5L,Gasoline,Automatic,556,2430
1G1ZT62875F313788,2005,Silver,4 Door,6 Cylinder,MALIBU MAXX LS           ,83249,Accurate,CHEVROLET,Passenger,34,Mid-size,3.5L,Gasoline,Automatic,34,5750
2MEFM74VX7X602668,2007,GRAY,4 Door,8 Cylinder,GRAND MARQUIS GS         ,117803,Accurate,MERCURY,Passenger,79,Full-size,4.6L,Flex - Fuel,Automatic,79,5800
KNAGE228X95300107,2009,Red,4 Door,4 Cylinder,OPTIMA                   ,85456,Accurate,KIA,Passenger,442,Mid-size,2.4L,Gasoline,Automatic,442,5300
2T1KR32E46C592607,2006,Silver,4 Door,4 Cylinder,COROLLA MATRIX/XR        ,124167,Accurate,TOYOTA,Passenger,306,Compact,1.8L,Gasoline,Automatic,306,4300
3FAHP0HA1AR142134,2010,Silver,4 Door,4 Cylinder,FUSION SE                ,106953,Accurate,FORD,Passenger,119,Mid-size,2.5L,Gasoline,Automatic,119,5900
2A8HR54P68R803919,2008,Green,Van,6 Cylinder,TOWN & COUNTRY TOURING ED,112480,Accurate,CHRYSLER,Truck,62,Van,3.8L,Gasoline,Automatic,62,6500
1D7HE48K16S559903,2006,Blue,Truck,6 Cylinder,DAKOTA QUAD CAB SLT      ,144557,Accurate,DODGE,Truck,61,Compact Truck,3.7L,Gasoline,Automatic,61,7400
3FAHP07Z09R126302,2009,White,4 Door,4 Cylinder,FUSION,117011,Accurate,FORD,Passenger,388,Mid-size,2.3L,Gasoline,Automatic,388,5200
1G1ZS52F95F339515,2005,Silver,4 Door,4 Cylinder,MALIBU                   ,160582,Accurate,CHEVROLET,Passenger,222,Mid-size,2.2L,Gasoline,Automatic,222,2400
3GSCL33P78S675688,2008,ORANGE,SUV,4 Cylinder,VUE                      ,95898.33333,Accurate,SATURN,Truck,370,SUV,2.4L,Gasoline,Automatic,370,5700
3GNDA23P88S568477,2008,Red,SUV,4 Cylinder,HHR LT                   ,106468,Accurate,CHEVROLET,Truck,406,Mid-size,2.4L,Gasoline,Automatic,406,4260
5GADV23L25D159432,2005,Silver,Van,6 Cylinder,TERRAZA CX               ,91803.25,Accurate,BUICK,Truck,432,Van,3.5L,Gasoline,Automatic,432,3725
2G4WS52J151125961,2005,Gray,4 Door,6 Cylinder,CENTURY CUSTOM           ,104401,Accurate,BUICK,Passenger,442,Mid-size,3.1L,Gasoline,Automatic,442,4200
2G1WB58KX89206959,2008,Red,4 Door,6 Cylinder,IMPALA LS                ,128762,Accurate,CHEVROLET,Passenger,474,Full-size,3.5L,Flex - Fuel,Automatic,474,3750
1J8GX68J24C163370,2004,Blue,SUV,8 Cylinder,GRAND CHEROKEE OVERLAND  ,85946,Accurate,JEEP,Truck,33,SUV,4.7L,Gasoline,Automatic,33,7000
3G2JB12F15S120609,2005,BURGUNDY,2 Door,4 Cylinder,SUNFIRE                  ,97170,Accurate,PONTIAC,Passenger,80,Compact,2.2L,Gasoline,Automatic,80,3990
1G1AL15F577407062,2007,Red,2 Door,4 Cylinder,COBALT LT                ,72549,Accurate,CHEVROLET,Passenger,441,Compact,2.2L,Gasoline,Automatic,441,4948
5NPET46C89H458763,2009,Silver,4 Door,4 Cylinder,SONATA                   ,135211,Accurate,HYUNDAI,Passenger,359,Full-size,2.4L,Gasoline,Automatic,359,3800
1HGCP26748A026536,2008,Grey,4 Door,4 Cylinder,ACCORD                   ,123391,Accurate,HONDA,Passenger,477,Mid-size,2.4L,Gasoline,Automatic,477,5900
1J4GL48596W104435,2006,Silver,SUV,4 Cylinder,LIBERTY,120989,Accurate,JEEP,Truck,504,SUV,2.8L,Diesel,Automatic,504,3990
1B3EL46X06N288589,2006,Gold,4 Door,4 Cylinder,STRATUS SXT              ,109844,Accurate,DODGE,Passenger,422,Mid-size,2.4L,Gasoline,Automatic,422,4200
1N6BA07DX8N321117,2008,Red,Truck,8 Cylinder,TITAN,130831,Accurate,NISSAN,Truck,533,Full-Size Truck,5.6L,Flex - Fuel,Automatic,533,8000
2G1WC583089282101,2008,Gray,4 Door,6 Cylinder,IMPALA                   ,120066,Accurate,CHEVROLET,Passenger,429,Full-size,3.9L,Flex - Fuel,Automatic,429,4590
2B3KA43G56H517127,2006,White,4 Door,6 Cylinder,CHARGER                  ,125870,Accurate,DODGE,Passenger,296,Full-size,3.5L,Gasoline,Automatic,296,4600
KNAFE121965290481,2006,Silver,4 Door,4 Cylinder,NEW SPECTRA LX/EX        ,117907,Accurate,KIA,Passenger,117,Compact,2.0L,Gasoline,Automatic,117,4800
1G1ZS53F26F219510,2006,Charcoal,4 Door,4 Cylinder,MALIBU LS                ,88623,Accurate,CHEVROLET,Passenger,315,Mid-size,2.2L,Gasoline,Automatic,315,5580
1GNDV23L16D174642,2006,Blue,Van,6 Cylinder,UPLANDER LS              ,110988,Accurate,CHEVROLET,Truck,348,Van,3.5L,Gasoline,Automatic,348,5200
1FMCU03Z58KC70039,2008,Black,SUV,4 Cylinder,ESCAPE,122702,Inaccurate,FORD,Truck,437,SUV,2.3L,Gasoline,Automatic,437,4930
1G1ZT51F86F181782,2006,White,4 Door,4 Cylinder,MALIBU LT                ,118814,Accurate,CHEVROLET,Passenger,396,Mid-size,2.2L,Gasoline,Automatic,396,4900
1B3LC46R18N257718,2008,Blue,4 Door,6 Cylinder,AVENGER SE               ,90884,Accurate,DODGE,Passenger,404,Mid-size,2.7L,Flex - Fuel,Automatic,404,5700
2D8HN44H48R741265,2008,Blue,Van,6 Cylinder,GRAND CARAVAN SE         ,133289,Accurate,DODGE,Truck,140,Van,3.3L,Flex - Fuel,Automatic,140,4600
1G1AK15F067880644,2006,SILVER,2 Door,4 Cylinder,COBALT LS LEVEL 2        ,99155,Accurate,CHEVROLET,Passenger,80,Compact,2.2L,Gasoline,Automatic,80,4550
1G2ZH57NX74183946,2007,White,4 Door,6 Cylinder,G6 GT                    ,109832.75,Accurate,PONTIAC,Passenger,472,Mid-size,3.5L,Gasoline,Automatic,472,4700
2C3JA63H85H656993,2005,White,4 Door,8 Cylinder,300C,102702,Accurate,CHRYSLER,Passenger,189,Full-size,5.7L,Gasoline,Automatic,189,3780
2C8GP54L65R517827,2005,Silver,Van,6 Cylinder,TOWN & COUNTRY TOURING ED,99950,Accurate,CHRYSLER,Truck,72,Van,3.8L,Gasoline,Automatic,72,5170
1B3LC56J58N160151,2008,Blue,4 Door,4 Cylinder,AVENGER SXT              ,85904,Accurate,DODGE,Passenger,461,Mid-size,2.4L,Gasoline,Automatic,461,6900
1FAFP53U54A181409,2004,Grey,4 Door,6 Cylinder,TAURUS SE                ,118221,Accurate,FORD,Passenger,441,Mid-size,3.0L,Gasoline,Automatic,441,4250
1G4HC5E12AU100390,2010,White,4 Door,6 Cylinder,LUCERNE,103032,Inaccurate,BUICK,Passenger,368,Full-size,3.9L,Gasoline,Automatic,368,4300
1G2AL15F077251282,2007,Black,2 Door,4 Cylinder,G5                       ,94340.66667,Accurate,PONTIAC,Passenger,495,Compact,2.2L,Gasoline,Automatic,495,5450
4T4BF3EK8AR007860,2010,Gold,4 Door,4 Cylinder,CAMRY                    ,98475,Accurate,TOYOTA,Passenger,223,Mid-size,2.5L,Gasoline,Automatic,223,4960
1G1ZS58F27F302042,2007,Red,4 Door,4 Cylinder,MALIBU LS                ,111669,Accurate,CHEVROLET,Passenger,463,Mid-size,2.2L,Gasoline,Automatic,463,6290
1YVFP80C045N70372,2004,Black,4 Door,4 Cylinder,6I                       ,79702,Inaccurate,MAZDA,Passenger,406,Full-size,2.3L,Gasoline,Automatic,406,5150
1FTYR10D38PA21588,2008,White,Truck,4 Cylinder,RANGER                   ,118383,Accurate,FORD,Truck,79,Compact Truck,,Gasoline,Automatic,79,5350
2CNDL13F176036582,2007,Black,SUV,6 Cylinder,EQUINOX LS               ,116766,Accurate,CHEVROLET,Truck,394,SUV,3.4L,Gasoline,Automatic,394,6205
JTNBK46K373021237,2007,Blue,4 Door,6 Cylinder,CAMRY LE/XLE/SE          ,107372,Accurate,TOYOTA,Passenger,370,Mid-size,3.5L,Gasoline,Automatic,370,6225
3GNDA23D26S513493,2006,Maroon,Van,4 Cylinder,HHR LT                   ,118542.3333,Accurate,CHEVROLET,Truck,308,Mid-size,2.2L,Gasoline,Automatic,308,3800
1GNDT13S842362199,2004,Maroon,SUV,6 Cylinder,TRAILBLAZER LS/LT        ,95640,Accurate,CHEVROLET,Truck,185,SUV,4.2L,Gasoline,Automatic,185,5900
1G4PP5SK2C4159648,2012,Black,4 Door,4 Cylinder,VERANO                   ,105384,Accurate,BUICK,Passenger,485,Mid-size,2.4L,Flex - Fuel,Automatic,485,6350
JM1BK323881172357,2008,Blue,4 Door,4 Cylinder,3,71976,Accurate,MAZDA,Passenger,318,Compact,2.3L,Gasoline,Automatic,318,5020
KMHCM36C88U085965,2008,Blue,2 Door,4 Cylinder,ACCENT                   ,119747.3333,Accurate,HYUNDAI,Passenger,498,Compact,1.6L,Gasoline,Automatic,498,2675
3N1CB51D36L594491,2006,Black,4 Door,4 Cylinder,SENTRA 1.8/1.8S          ,66711,Accurate,NISSAN,Passenger,477,Compact,1.8L,Gasoline,Automatic,477,2500
1FAHP3F23CL196792,2012,White,4 Door,4 Cylinder,FOCUS                    ,114634,Accurate,FORD,Passenger,295,Compact,2.0L,Gasoline,Automatic,295,4500
1GNDV23W27D141869,2007,Gold,Van,6 Cylinder,UPLANDER LS              ,102836.3333,Accurate,CHEVROLET,Truck,495,Van,3.9L,Flex - Fuel,Automatic,495,4850
1N4AL21EX9N416404,2009,Blue,4 Door,4 Cylinder,ALTIMA 2.5/2.5 S         ,118506,Accurate,NISSAN,Passenger,76,Mid-size,2.5L,Gasoline,Automatic,76,6675
1FAHP24117G135430,2007,Gray,4 Door,6 Cylinder,FIVE HUNDRED,142549,Accurate,FORD,Passenger,434,Full-size,3.0L,Gasoline,Automatic,434,4700
1FAHP3FN4AW198976,2010,Black,4 Door,4 Cylinder,FOCUS SE                 ,89843,Accurate,FORD,Passenger,140,Compact,2.0L,Gasoline,Automatic,140,6100
1D7HE42P07S259131,2007,White,Truck,8 Cylinder,DAKOTA                   ,144201,Accurate,DODGE,Truck,296,Compact Truck,4.7L,Flex - Fuel,Automatic,296,4800
1FAHP3E24CL182868,2012,Gray,4 Door,4 Cylinder,FOCUS                    ,96420,Accurate,FORD,Passenger,81,Compact,2.0L,Gasoline,Automatic,81,5725
1D7HA16K87J557358,2007,White,Truck,6 Cylinder,RAM 1500,49092,Accurate,DODGE,Truck,291,Full-Size Truck,3.7L,Gasoline,Automatic,291,6200
2G1WH52K649233643,2004,Black,4 Door,6 Cylinder,IMPALA LS                ,86546,Accurate,CHEVROLET,Passenger,310,Full-size,3.8L,Gasoline,Automatic,310,4645
1G2NF52E92M626947,2002,Silver,4 Door,6 Cylinder,GRAND AM SE1             ,128502.6667,Accurate,PONTIAC,Passenger,261,Mid-size,3.4L,Gasoline,Automatic,261,2500
KMHWF35H44A922582,2004,White,4 Door,6 Cylinder,SONATA GLS/LX            ,119134,Accurate,HYUNDAI,Passenger,481,Full-size,2.7L,Gasoline,Automatic,481,4805
KMHDU46D07U184359,2007,Gray,4 Door,4 Cylinder,ELANTRA                  ,116701,Accurate,HYUNDAI,Passenger,291,Mid-size,2.0L,Gasoline,Automatic,291,4890
1G2NF52E94C251683,2004,Gold,4 Door,6 Cylinder,GRAND AM SE1             ,107731.3333,Accurate,PONTIAC,Passenger,396,Mid-size,3.4L,Gasoline,Automatic,396,4700
3D4GG67V29T201853,2009,Black,SUV,6 Cylinder,JOURNEY,92135,Accurate,DODGE,Truck,475,Compact,3.5L,Gasoline,Automatic,475,5840
1YVHZ8BH6B5M23899,2011,Black,4 Door,4 Cylinder,6,111289.8,Accurate,MAZDA,Passenger,292,Full-size,2.5L,Gasoline,Automatic,292,5680
1N4AL21E57N491721,2007,Gold,4 Door,4 Cylinder,ALTIMA,104194,Accurate,NISSAN,Passenger,291,Mid-size,2.5L,Gasoline,Automatic,291,4700
1GTEC14XX4Z269585,2004,White,Truck,6 Cylinder,SIERRA C1500             ,92545,Accurate,GMC,Truck,385,Full-Size Truck,4.3L,Gasoline,Automatic,385,5700
3MEHM08178R630127,2008,Red,4 Door,6 Cylinder,MILAN                    ,104878,Accurate,MERCURY,Passenger,69,Full-size,3.0L,Gasoline,Automatic,69,4585
1G2ZG58B974216765,2007,Gray,4 Door,4 Cylinder,G6/SE                    ,105207,Accurate,PONTIAC,Passenger,308,Mid-size,2.4L,Gasoline,Automatic,308,5620
3FAHP0HG8BR287192,2011,White,4 Door,6 Cylinder,FUSION,103152,Accurate,FORD,Passenger,332,Mid-size,3.0L,Flex - Fuel,Automatic,332,5300
1NXBR32E26Z635856,2006,Black,4 Door,4 Cylinder,COROLLA                  ,138456,Accurate,TOYOTA,Passenger,493,Compact,1.8L,Gasoline,Automatic,493,1850
1C3CDZABXDN627131,2013,Blue,4 Door,4 Cylinder,AVENGER                  ,107414,Accurate,DODGE,Passenger,292,Mid-size,2.4L,Gasoline,Automatic,292,5300
2CTALMEC9B6462884,2011,Black,SUV,4 Cylinder,TERRAIN,133152,Accurate,GMC,Truck,520,SUV,2.4L,Gasoline,Automatic,520,5380
2CNDL73F156011195,2005,Burgundy,SUV,6 Cylinder,EQUINOX LT               ,136224,Accurate,CHEVROLET,Truck,341,SUV,3.4L,Gasoline,Automatic,341,5500
1B3EL46X15N634065,2005,Blue,4 Door,4 Cylinder,STRATUS                  ,130824,Accurate,DODGE,Passenger,412,Mid-size,2.4L,Gasoline,Automatic,412,4500
1J4NT1FA6BD288129,2011,White,SUV,4 Cylinder,COMPASS,122897,Accurate,JEEP,Truck,125,SUV,2.0L,Gasoline,Automatic,125,5950
1GNES16S756131484,2005,Gray,SUV,6 Cylinder,TRAILBLAZER EXT LS/LT    ,113282,Accurate,CHEVROLET,Truck,292,SUV,4.2L,Gasoline,Automatic,292,3335
1J4GL48K47W538771,2007,Silver,SUV,6 Cylinder,LIBERTY SPORT            ,73241,Accurate,JEEP,Truck,370,SUV,3.7L,Gasoline,Automatic,370,6200
3N1AB6AP2BL677797,2011,Gray,4 Door,4 Cylinder,SENTRA                   ,118970,Accurate,NISSAN,Passenger,495,Compact,2.0L,Gasoline,Automatic,495,4200
4A3AC44G04E049893,2004,Silver,2 Door,4 Cylinder,ECLIPSE GS               ,69130,Accurate,MITSUBISHI,Passenger,225,Mid-size,2.4L,Gasoline,Automatic,225,4000
3GNCA13B99S532440,2009,Silver,SUV,4 Cylinder,HHR LS                   ,88895,Accurate,CHEVROLET,Truck,341,Mid-size,2.2L,Flex - Fuel,Automatic,341,5888
3GNDA23P46S507947,2006,Black,Van,4 Cylinder,HHR LT                   ,108042,Accurate,CHEVROLET,Truck,308,Mid-size,2.4L,Gasoline,Automatic,308,4785
KNAGD126455403464,2005,Black,4 Door,4 Cylinder,OPTIMA LX/EX             ,85153,Accurate,KIA,Passenger,412,Mid-size,2.4L,Gasoline,Automatic,412,5400
1GNDS13S972176274,2007,Blue,SUV,6 Cylinder,TRAILBLAZER LS/LT        ,119191,Accurate,CHEVROLET,Truck,454,SUV,4.2L,Gasoline,Automatic,454,3500
1G1AD5F55A7211432,2010,White,4 Door,4 Cylinder,COBALT LT                ,89659,Accurate,CHEVROLET,Passenger,332,Compact,2.2L,Gasoline,Automatic,332,5700
KMHWF25S42A601676,2002,White,4 Door,4 Cylinder,SONATA GL                ,87318,Accurate,HYUNDAI,Passenger,228,Full-size,2.4L,Gasoline,Automatic,228,2760
JM1BL1SF4A1238825,2010,White,4 Door,4 Cylinder,3,101747,Accurate,MAZDA,Passenger,318,Compact,2.0L,Gasoline,Automatic,318,5055
1N4AL11D22C126919,2002,Gold,4 Door,4 Cylinder,ALTIMA/S/SL              ,94095.66667,Accurate,NISSAN,Passenger,61,Mid-size,2.5L,Gasoline,Automatic,61,4865
5NPEU46C68H360942,2008,Silver,4 Door,4 Cylinder,SONATA SE/LIMITED,119526,Accurate,HYUNDAI,Passenger,140,Full-size,2.4L,Gasoline,Automatic,140,4645
1G1AL55F877323504,2007,Black,4 Door,4 Cylinder,COBALT LT                ,103335,Accurate,CHEVROLET,Passenger,306,Compact,2.2L,Gasoline,Automatic,306,5320
KMHDN46D74U770257,2004,Gold,4 Door,4 Cylinder,ELANTRA GLS/GT           ,105229,Accurate,HYUNDAI,Passenger,38,Mid-size,2.0L,Gasoline,Automatic,38,4600
1G1AK15F467876015,2006,Black,2 Door,4 Cylinder,COBALT LS LEVEL 2        ,95754,Accurate,CHEVROLET,Passenger,332,Compact,2.2L,Gasoline,Automatic,332,5000
3FADP4BJ8BM212340,2011,Blue,4 Door,4 Cylinder,FIESTA,76735,Accurate,FORD,Passenger,222,Compact,1.6L,Gasoline,Automatic,222,4615
1GNDT13S052197072,2005,White,SUV,6 Cylinder,TRAILBLAZER LS/LT        ,146796,Accurate,CHEVROLET,Truck,110,SUV,4.2L,Gasoline,Automatic,110,6000
1FAHP3FN6BW200325,2011,Gray,4 Door,4 Cylinder,FOCUS                    ,83652,Accurate,FORD,Passenger,291,Compact,2.0L,Gasoline,Automatic,291,4670
2D4GP44393R206002,2003,White,Van,6 Cylinder,GRAND CARAVAN SPORT      ,103081,Inaccurate,DODGE,Truck,9,Van,3.3L,Flex - Fuel,Automatic,9,2810
1G1ZT62844F183869,2004,Blue,4 Door,6 Cylinder,MALIBU MAXX LS           ,120230,Accurate,CHEVROLET,Passenger,82,Mid-size,3.5L,Gasoline,Automatic,82,4400
2G1WT58N579176534,2007,Silver,4 Door,6 Cylinder,IMPALA                   ,149975,Accurate,CHEVROLET,Passenger,434,Full-size,3.5L,Gasoline,Automatic,434,4700
1G1AL58F287117639,2008,BLACK,4 Door,4 Cylinder,COBALT LT                ,83849,Accurate,CHEVROLET,Passenger,382,Compact,2.2L,Gasoline,Automatic,382,5600
1FMCU93G39KA12073,2009,Black,SUV,6 Cylinder,ESCAPE,130429,Accurate,FORD,Truck,405,SUV,3.0L,Gasoline,Automatic,405,5985
KM8JM12B37U547310,2007,Green,SUV,4 Cylinder,TUCSON GLS               ,111263.6667,Accurate,HYUNDAI,Truck,442,SUV,2.0L,Gasoline,Automatic,442,5600
2A4GP54L06R806022,2006,Blue,Van,6 Cylinder,TOWN & COUNTRY TOURING ED,89586,Accurate,CHRYSLER,Truck,302,Van,3.8L,Gasoline,Automatic,302,6400
KNDJC736485845341,2008,BLUE,SUV,6 Cylinder,SORENTO,93777,Accurate,KIA,Truck,187,SUV,3.8L,Gasoline,Automatic,187,5800
KNDUP131146542797,2004,White,Van,6 Cylinder,SEDONA EX/LX             ,93652,Accurate,KIA,Truck,483,Van,3.5L,Gasoline,Automatic,483,3500
1B3CC4FB0AN149888,2010,Black,4 Door,4 Cylinder,AVENGER SXT              ,110337,Accurate,DODGE,Passenger,125,Mid-size,2.4L,Gasoline,Automatic,125,6000
2C3JA43R45H652274,2005,Green,4 Door,6 Cylinder,300,74803,Exempt,CHRYSLER,Passenger,308,Full-size,2.7L,Gasoline,Automatic,308,5220
1G2NF52F14C211641,2004,White,4 Door,4 Cylinder,GRAND AM SE1             ,78067,Accurate,PONTIAC,Passenger,168,Mid-size,2.2L,Gasoline,Automatic,168,4800
1N4AL21E37C193857,2007,Tan,4 Door,4 Cylinder,ALTIMA,80894,Inaccurate,NISSAN,Passenger,504,Mid-size,2.5L,Gasoline,Automatic,504,5000
1G1AK55F467648412,2006,Gray,4 Door,4 Cylinder,COBALT LS                ,73735,Accurate,CHEVROLET,Passenger,432,Compact,2.2L,Gasoline,Automatic,432,2850
1HGFA16818L100551,2008,Gray,4 Door,4 Cylinder,CIVIC                    ,135649,Accurate,HONDA,Passenger,378,Compact,1.8L,Gasoline,Automatic,378,4690
1FAFP56U66A130127,2006,Red,4 Door,6 Cylinder,TAURUS SEL               ,87021,Accurate,FORD,Passenger,442,Mid-size,3.0L,Gasoline,Automatic,442,4600
2C3KA53G96H258473,2006,Blue,4 Door,6 Cylinder,300,110105,Accurate,CHRYSLER,Passenger,348,Full-size,3.5L,Gasoline,Automatic,348,5500
KNAFE121685524322,2008,Black,4 Door,4 Cylinder,SPECTRA EX/LX/SX         ,89765,Accurate,KIA,Passenger,261,Compact,2.0L,Gasoline,Automatic,261,3475
3N1AB6APXBL649875,2011,White,4 Door,4 Cylinder,SENTRA/S/SR/SL           ,81285.95652,Accurate,NISSAN,Passenger,61,Compact,2.0L,Gasoline,Automatic,61,12300
2G1WW12E659331890,2005,Red,2 Door,6 Cylinder,MONTE CARLO LS           ,108524.3333,Accurate,CHEVROLET,Passenger,62,Full-size,3.4L,Gasoline,Automatic,62,13400
