VIN,CarYear,Color,VehBody,EngineType,Make,Miles,Odometer,Brand,VehType,LocationNum,CarType,EngineLiters,FuelType,Transmission,SaleLoc,PurchVal
JN1CV6AP4BM503641,2011,Gray,4 Door,6 Cylinder,G37,117760,Accurate,INFINITI,Passenger,119,Full-size,3.7L,Gasoline,Automatic,119,7200
2T1KR38E23C056953,2003,Red,2 Door,4 Cylinder,COROLLA MATRIX,183887,Exempt,TOYOTA,Passenger,378,Compact,1.8L,Gasoline,5-Speed,378,2965
1G1AF5F52A7144315,2010,Blue,4 Door,4 Cylinder,COBALT                   ,123161,Accurate,CHEVROLET,Passenger,362,Compact,2.2L,Gasoline,Automatic,362,3000
2D4RN5D10AR483105,2010,Blue,Van,6 Cylinder,GRAND CARAVAN,113133,Accurate,DODGE,Truck,59,Van,3.8L,Gasoline,Automatic,59,6500
2FMDK36C27BB17680,2007,Gray,SUV,6 Cylinder,EDGE SE                  ,94257,Accurate,FORD,Truck,77,SUV,3.5L,Gasoline,Automatic,77,8375
1G4HD5EM8AU116679,2010,Black,4 Door,6 Cylinder,LUCERNE,106385,Accurate,BUICK,Passenger,59,Full-size,3.9L,Flex - Fuel,Automatic,59,5975
1G8AJ52F05Z106865,2005,Black,4 Door,4 Cylinder,ION LEVEL 2              ,89620.33333,Accurate,SATURN,Passenger,291,Compact,2.2L,Gasoline,Automatic,291,3755
2G2WP552371116289,2007,Blue,4 Door,6 Cylinder,GRAND PRIX               ,98714.66667,Accurate,PONTIAC,Passenger,368,Full-size,3.8L,Gasoline,Automatic,368,6000
3A4FY58B77T597743,2007,White,Van,4 Cylinder,PT CRUISER               ,102114,Accurate,CHRYSLER,Truck,329,Mid-size,2.4L,Gasoline,5-Speed,329,4900
KM8SB12B14U650506,2004,Tan,SUV,4 Cylinder,SANTA FE GL              ,104551,Accurate,HYUNDAI,Truck,81,SUV,2.4L,Gasoline,Automatic,81,4400
2G4WD552171141093,2007,Silver,4 Door,6 Cylinder,LACROSSE                 ,99309,Accurate,BUICK,Passenger,421,Full-size,3.8L,Gasoline,Automatic,421,5698.75
1G2ZG57NX84246161,2008,Black,4 Door,6 Cylinder,G6                       ,123185,Accurate,PONTIAC,Passenger,474,Mid-size,3.5L,Gasoline,Automatic,474,5000
1J4GX48S23C540759,2003,Grey,SUV,6 Cylinder,GRAND CHEROKEE LAREDO    ,124661,Accurate,JEEP,Truck,409,SUV,4.0L,Gasoline,Automatic,409,6300
1G1AK55F977125825,2007,Silver,4 Door,4 Cylinder,COBALT LS                ,102764,Accurate,CHEVROLET,Passenger,140,Compact,2.2L,Gasoline,Automatic,140,3500
2V8HW34199R501952,2009,Blue,Van,6 Cylinder,ROUTAN,113929,Accurate,VOLKSWAGEN,Truck,528,Van,3.8L,Gasoline,Automatic,528,2730
3GSCL53708S635447,2008,White,SUV,6 Cylinder,VUE XR                   ,95379,Accurate,SATURN,Truck,119,SUV,3.6L,Gasoline,Automatic,119,6200
1FAFP34N36W198811,2006,Silver,4 Door,4 Cylinder,FOCUS                    ,34718,Accurate,FORD,Passenger,481,Compact,2.0L,Gasoline,5-Speed,481,4400
2G1WB58K679295637,2007,Blue,4 Door,6 Cylinder,IMPALA LS                ,101953,Accurate,CHEVROLET,Passenger,448,Full-size,3.5L,Flex - Fuel,Automatic,448,4105
2G1WF52E039206937,2003,Tan,4 Door,6 Cylinder,IMPALA                   ,71129,Accurate,CHEVROLET,Passenger,149,Full-size,3.4L,Gasoline,Automatic,149,4200
2FTRX08L21CB00077,2001,Black,Truck,8 Cylinder,F150                     ,148552,Accurate,FORD,Truck,238,Full-Size Truck,5.4L,Gasoline,Automatic,238,4175
2CKDL33F086006712,2008,Red,SUV,6 Cylinder,TORRENT                  ,98899.33333,Accurate,PONTIAC,Truck,521,SUV,3.4L,Gasoline,Automatic,521,5675
3N1AB61EX8L686464,2008,Black,4 Door,4 Cylinder,SENTRA 2.0/2.0S/2.0SL    ,64438,Accurate,NISSAN,Passenger,516,Compact,2.0L,Gasoline,Automatic,516,5400
1G1ZC5E16BF353798,2011,Brown,4 Door,4 Cylinder,MALIBU                   ,103656,Accurate,CHEVROLET,Passenger,251,Mid-size,2.4L,Gasoline,Automatic,251,5590
2CKDL63F566091156,2006,Black,SUV,6 Cylinder,TORRENT                  ,122945,Accurate,PONTIAC,Truck,149,SUV,3.4L,Gasoline,Automatic,149,5500
2G1WB55K669188302,2006,Blue,4 Door,6 Cylinder,IMPALA LS                ,124802,Accurate,CHEVROLET,Passenger,306,Full-size,3.5L,Flex - Fuel,Automatic,306,3695
2V4RW3D17AR360602,2010,Brown,Van,6 Cylinder,ROUTAN,106976,Accurate,VOLKSWAGEN,Truck,370,Van,3.8L,Gasoline,Automatic,370,6125
1C3LC46K28N151767,2008,Burgundy,4 Door,4 Cylinder,SEBRING                  ,138969.3333,Accurate,CHRYSLER,Passenger,38,Mid-size,2.4L,Gasoline,Automatic,38,3000
KNAFE122765304824,2006,Blue,4 Door,4 Cylinder,NEW SPECTRA LX/EX        ,102675,Accurate,KIA,Passenger,37,Compact,2.0L,Gasoline,Automatic,37,4200
2G4WC582661192120,2006,Blue,4 Door,6 Cylinder,LACROSSE                 ,96356,Accurate,BUICK,Passenger,508,Full-size,3.8L,Gasoline,Automatic,508,4900
1G1ZS58N88F108348,2008,GRAY,4 Door,6 Cylinder,MALIBU LS                ,99059,Accurate,CHEVROLET,Passenger,85,Mid-size,3.5L,Gasoline,Automatic,85,5200
KM8SC13E45U865756,2005,RED,SUV,6 Cylinder,SANTA FE GLS/LX          ,106375,Accurate,HYUNDAI,Truck,72,SUV,3.5L,Gasoline,Automatic,72,5600
2A4GP44R77R298468,2007,Silver,Van,6 Cylinder,TOWN & COUNTRY LX        ,114378,Accurate,CHRYSLER,Truck,300,Van,3.3L,Gasoline,Automatic,300,5500
5Y2SL64843Z447921,2003,Gray,4 Door,4 Cylinder,VIBE                     ,104546,Accurate,PONTIAC,Passenger,364,Mid-size,1.8L,Gasoline,Automatic,364,5000
KM8JN12D75U045444,2005,White,SUV,6 Cylinder,TUCSON GLS               ,114522,Accurate,HYUNDAI,Truck,61,SUV,2.7L,Gasoline,Automatic,61,5500
JN8AS58V89W442535,2009,Grey,SUV,4 Cylinder,ROGUE,117113,Accurate,NISSAN,Truck,315,SUV,2.5L,Gasoline,Automatic,315,6600
1G11C5SA5DF156075,2013,White,4 Door,4 Cylinder,MALIBU                   ,134855,Accurate,CHEVROLET,Passenger,528,Mid-size,2.5L,Gasoline,Automatic,528,4700
2G4WC532451300093,2005,Blue,4 Door,6 Cylinder,LACROSSE CX              ,106986,Accurate,BUICK,Passenger,79,Full-size,3.8L,Gasoline,Automatic,79,5600
1N4AL2AP2CC259228,2012,MAROON,4 Door,4 Cylinder,ALTIMA,109487,Accurate,NISSAN,Passenger,370,Mid-size,2.5L,Gasoline,Automatic,370,6200
5NMSG13D87H128229,2007,Gray,SUV,6 Cylinder,SANTA FE                 ,138499,Accurate,HYUNDAI,Truck,432,SUV,2.7L,Gasoline,Automatic,432,5100
2G1WF5EK5B1314601,2011,Silver,4 Door,6 Cylinder,IMPALA                   ,117791.6667,Accurate,CHEVROLET,Passenger,434,Full-size,3.5L,Flex - Fuel,Automatic,434,5600
4A3AB56F27E030537,2007,Black,4 Door,4 Cylinder,GALANT ES/LS PREMIUM     ,118122,Accurate,MITSUBISHI,Passenger,119,Mid-size,2.4L,Gasoline,Automatic,119,5500
1GNDT13S372193679,2007,Grey,SUV,6 Cylinder,TRAILBLAZER              ,124305,Accurate,CHEVROLET,Truck,483,SUV,4.2L,Gasoline,Automatic,483,4900
1G1ZS58NX8F104320,2008,Gray,4 Door,6 Cylinder,MALIBU LS                ,123385,Accurate,CHEVROLET,Passenger,74,Mid-size,3.5L,Gasoline,Automatic,74,5170
JF1GH63699H824206,2009,Gray,4 Door,4 Cylinder,IMPREZA                  ,120689,Inaccurate,SUBARU,Passenger,437,Compact,2.5L,Gasoline,Automatic,437,5225
1G1AL55F267602669,2006,Gold,4 Door,4 Cylinder,COBALT LT LEVEL 2        ,87571,Accurate,CHEVROLET,Passenger,494,Compact,2.2L,Gasoline,Automatic,494,2635
1N4AL21E79N531168,2009,White,4 Door,4 Cylinder,ALTIMA,116757,Accurate,NISSAN,Passenger,440,Mid-size,2.5L,Gasoline,Automatic,440,6075
3GNBAADB3AS591708,2010,Blue,SUV,4 Cylinder,HHR,121269,Accurate,CHEVROLET,Truck,529,Mid-size,2.2L,Flex - Fuel,Automatic,529,3720
3A4FY58B56T205406,2006,Silver,Van,4 Cylinder,PT CRUISER TOURINGEDITION,100514,Accurate,CHRYSLER,Truck,34,Mid-size,2.4L,Gasoline,Automatic,34,5200
KNAGG4A88A5391468,2010,Blue,4 Door,4 Cylinder,OPTIMA                   ,116478,Accurate,KIA,Passenger,223,Mid-size,2.4L,Gasoline,Automatic,223,3550
2MEFM75V86X638209,2006,Gray,4 Door,8 Cylinder,GRAND MARQUIS LS         ,94589,Accurate,MERCURY,Passenger,378,Full-size,4.6L,Flex - Fuel,Automatic,378,4215
3FAHP06Z18R246755,2008,Silver,4 Door,4 Cylinder,FUSION S                 ,105667,Inaccurate,FORD,Passenger,406,Mid-size,2.3L,Gasoline,Automatic,406,6500
KM8SC13D04U749489,2004,Silver,SUV,6 Cylinder,SANTA FE GLS/LX          ,95414.66667,Accurate,HYUNDAI,Truck,440,SUV,2.7L,Gasoline,Automatic,440,4700
1G1ZB5E16BF124511,2011,Blue,4 Door,4 Cylinder,MALIBU                   ,999907,Accurate,CHEVROLET,Passenger,477,Mid-size,2.4L,Gasoline,Automatic,477,5700
2B3KA43R77H712777,2007,White,4 Door,6 Cylinder,CHARGER SE/SXT           ,129081,Accurate,DODGE,Passenger,484,Full-size,2.7L,Gasoline,Automatic,484,5430
1N4AB7APXDN903581,2013,Black,4 Door,4 Cylinder,SENTRA                   ,96789,Accurate,NISSAN,Passenger,432,Compact,1.8L,Gasoline,Automatic,432,4605
3FADP4EJ2CM101960,2012,Green,2 Door,4 Cylinder,FIESTA,90828,Accurate,FORD,Passenger,222,Compact,1.6L,Gasoline,Automatic,222,4500
3C4FY48B24T240174,2004,Purple,Van,4 Cylinder,PT CRUISER               ,91105,Inaccurate,CHRYSLER,Truck,454,Mid-size,2.4L,Gasoline,Automatic,454,3645
1N4AL21E09N491144,2009,Blue,4 Door,4 Cylinder,ALTIMA,83082,Accurate,NISSAN,Passenger,504,Mid-size,2.5L,Gasoline,Automatic,504,4615
2D8HN44H78R623484,2008,Blue,Van,6 Cylinder,GRAND CARAVAN,134569,Accurate,DODGE,Truck,117,Van,3.3L,Flex - Fuel,Automatic,117,5200
1J8FT47W87D339538,2007,Silver,SUV,4 Cylinder,COMPASS SPORT            ,124516,Accurate,JEEP,Truck,386,SUV,2.4L,Gasoline,Automatic,386,5000
1G2ZH558264129021,2006,Orange,4 Door,6 Cylinder,G6 GT                    ,120547,Accurate,PONTIAC,Passenger,488,Mid-size,3.5L,Gasoline,Automatic,488,5800
1G4HR54K33U232537,2003,White,4 Door,6 Cylinder,LESABRE LIMITED          ,102258.5333,Accurate,BUICK,Passenger,429,Full-size,3.8L,Gasoline,Automatic,429,8012.58
KM8JN72D15U211637,2005,Red,SUV,6 Cylinder,TUCSON GLS               ,129398,Accurate,HYUNDAI,Truck,188,SUV,2.7L,Gasoline,Automatic,188,4900
2A8HR44H38R771403,2008,Silver,Van,6 Cylinder,TOWN & COUNTRY LX        ,102504,Accurate,CHRYSLER,Truck,199,Van,3.3L,Flex - Fuel,Automatic,199,6200
1D4GP24R66B614100,2006,Blue,Van,6 Cylinder,GRAND CARAVAN SE         ,95652,Accurate,DODGE,Truck,67,Van,3.3L,Gasoline,Automatic,67,4485
1FAHP3FN0AW296659,2010,Gray,4 Door,4 Cylinder,FOCUS                    ,85223,Accurate,FORD,Passenger,483,Compact,2.0L,Gasoline,Automatic,483,5300
1FMZU73K64ZA71296,2004,Red,SUV,6 Cylinder,EXPLORER XLT/XLT SPT/NBX ,107077,Accurate,FORD,Truck,360,SUV,4.0L,Flex - Fuel,Automatic,360,5000
2A8GF78X17R365156,2007,Black,SUV,6 Cylinder,PACIFICA LIMITED         ,88850,Accurate,CHRYSLER,Truck,468,SUV,4.0L,Gasoline,Automatic,468,4170
1GNDT13S572194381,2007,Blue,SUV,6 Cylinder,TRAILBLAZER LS/LT        ,99024,Accurate,CHEVROLET,Truck,76,SUV,4.2L,Gasoline,Automatic,76,6200
1FMCU03Z08KA10387,2008,Grey,SUV,4 Cylinder,ESCAPE XLT               ,114683,Accurate,FORD,Truck,9,SUV,2.3L,Gasoline,Automatic,9,6130
3GNBAAFW1BS660414,2011,White,SUV,4 Cylinder,HHR,114316,Accurate,CHEVROLET,Truck,76,Mid-size,2.2L,Flex - Fuel,Automatic,76,5200
1C4GP45RX4B539440,2004,Blue,Van,6 Cylinder,TOWN & COUNTRY           ,94168,Accurate,CHRYSLER,Truck,406,Van,3.3L,Gasoline,Automatic,406,3500
KNAGE124765021586,2006,Black,4 Door,6 Cylinder,OPTIMA LX/EX             ,123818,Accurate,KIA,Passenger,429,Mid-size,2.7L,Gasoline,Automatic,429,4185
3FAFP37313R137305,2003,Silver,4 Door,4 Cylinder,FOCUS ZX5                ,116798,Accurate,FORD,Passenger,74,Compact,2.0L,Gasoline,Automatic,74,3700
1NXBR32EX6Z745912,2006,Black,4 Door,4 Cylinder,COROLLA                  ,114580,Accurate,TOYOTA,Passenger,291,Compact,1.8L,Gasoline,Automatic,291,4500
3A4FY58B46T347312,2006,Silver,Van,4 Cylinder,PT CRUISER TOURINGEDITION,62331.33333,Accurate,CHRYSLER,Truck,84,Mid-size,2.4L,Gasoline,Automatic,84,4600
